# experiment P-100 (R-100)
# hypothesis: M-372 FOUND THE OBSTRUCTION AND NAMED IT AS STRUCTURAL. Marching Tetrahedra improves from {6, 12} to a flat 12 OF 48 AND STOPS, because a six-tetrahedron decomposition of a cell is not octahedrally invariant -- its diagonals cut different edges after a relabelling -- and NO PLACEMENT RULE REACHES THAT. That is a statement about the DECOMPOSITION, not about the extractor, and decompositions that are invariant exist: the barycentric (Kuhn/Freudenthal) subdivision into 24 tetrahedra is invariant under the full octahedral group by construction. P-3 already verified that Kuhn tiles face-to-face only if every cell picks the same main diagonal, and M-51 measured classic MT at about 3x the triangles for about 4% worse geometry, so the cost side is known and the question is whether invariance is worth paying for. (C1) A 24-tetrahedron barycentric decomposition reaches 48 OF 48 on all eight fields at both resolutions, where the six-tet split reaches 12. (C2) It costs at most 2x the six-tet split in triangle count -- and since M-51 already measured a 3x penalty over Marching Cubes, the COMBINED penalty must stay under 6x, which is the number a consumer actually pays. (C3) It STILL TILES across chunk seams with zero open edges, which is the property M-132 measured for the subgrid extractor and the reason Marching Tetrahedra is in this crate at all. SHARE: C2 is a triangle count, compared against M-51's already-measured baseline.
# falsified by: C1 by under 48, which would mean the obstruction is not the decomposition and M-372's diagnosis needs revising. C2 by above 2x, which prices invariance out for a game and leaves it a CAD-only option. C3 by any open edge, which kills it outright regardless of C1. VACUITY CONTROL: the six-tet arm must reproduce p-61.csv's flat 12 of 48 before the 24-tet arm is believed, reported side by side.
# commit bd8b134 on amd-ryzen-9-5900x-12-core at 2026-08-28T01:26:32Z
field,resolution,decomposition,tetrahedra_per_cell,elements_vertex_exact,worst_component_ulp,triangles,triangles_vs_six_tet,triangles_vs_marching_cubes,open_edges,seam_configurations,hausdorff,c1_holds,c2_holds,c3_holds,accuracy_degenerate_triangles,accuracy_forward_samples,accuracy_reverse_samples,accuracy_triangles,boundary_open_edges,c1_population,c1_rows_at_48,c1_worst_row,c2_worst_ratio_marching_cubes,c2_worst_ratio_six_tet,c3_open_edges_total,cell_size,cut_edges,cut_edges_p61,elements_tested,elements_triangle_exact,elements_vertex_exact_p61,exact_are_diagonal_stabiliser,first_failing_element,fixture_can_fail,grid_symmetric,hausdorff_field_to_mesh,hausdorff_mesh_to_field,order_sensitive_edges,p61_columns_match,seam_control_open_edges,seam_coords_exact,seam_mesh_identical,triangles_p61,vacuity_mc_rows_at_48,vacuity_six_tet_rows_at_12,vacuity_stabiliser_rows,vertex_failing_labels,vertices,wall_ms
gyroid,33,six_tet_crate,6,12,9236733321463398127,30492,1.000000,2.867946,0,12,0.361561125,true,false,true,66,45609,6468,30426,7,16,16,48,10.557864,2.726437,0,0.437500000,5292,5292,48,12,12,true,perm=012;sign=-++,true,true,0.361561125,0.326309873,532,true,552,true,true,30492,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,15196,450
gyroid,33,six_tet_bench,6,12,9236733321463398127,30492,1.000000,2.867946,0,12,0.361561125,true,false,true,66,45609,6468,30426,7,16,16,48,10.557864,2.726437,0,0.437500000,5292,,48,12,,true,perm=012;sign=-++,true,true,0.361561125,0.326309873,532,true,552,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,15196,486
gyroid,33,barycentric_24,24,48,0,72648,2.382527,6.832957,0,12,0.340314162,true,false,true,195,108704,6468,72453,10,16,16,48,10.557864,2.726437,0,0.437500000,5292,,48,6,,false,none,true,true,0.340314162,0.242503104,532,true,557,true,true,,16,32,32,,36300,1439
gyroid,33,barycentric_24_field_sampled,24,48,0,73944,2.425030,6.954853,0,12,0.234475919,true,false,true,213,110633,6468,73731,10,16,16,48,10.557864,2.726437,0,0.437500000,5292,,48,6,,false,none,true,true,0.234475919,0.170845824,532,true,557,true,true,,16,32,32,,36954,2108
gyroid,25,marching_cubes,0,48,0,4608,0.354898,1.000000,0,13,0.758186309,true,false,true,4,6902,2669,4604,4,16,16,48,10.557864,2.726437,0,0.656250000,2298,2298,48,1,48,false,none,true,true,0.758186309,0.478893599,320,true,373,true,true,4608,16,32,32,,2298,94
gyroid,25,six_tet_crate,6,12,9236787869171538068,12984,1.000000,2.817708,0,13,0.694706520,true,false,true,12,19457,2669,12972,7,16,16,48,10.557864,2.726437,0,0.656250000,2298,2298,48,12,12,true,perm=012;sign=-++,true,true,0.694706520,0.477657561,320,true,370,true,true,12984,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,6486,196
gyroid,25,six_tet_bench,6,12,9236787869171538068,12984,1.000000,2.817708,0,13,0.694706520,true,false,true,12,19457,2669,12972,7,16,16,48,10.557864,2.726437,0,0.656250000,2298,,48,12,,true,perm=012;sign=-++,true,true,0.694706520,0.477657561,320,true,370,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,6486,206
gyroid,25,barycentric_24,24,48,0,31392,2.417745,6.812500,0,13,0.738667548,true,false,true,69,46973,2669,31323,10,16,16,48,10.557864,2.726437,0,0.656250000,2298,,48,6,,false,none,true,true,0.738667548,0.345215643,320,true,375,true,true,,16,32,32,,15660,591
gyroid,25,barycentric_24_field_sampled,24,48,0,32412,2.496303,7.033854,0,13,0.277643274,true,false,true,60,48518,2669,32352,10,16,16,48,10.557864,2.726437,0,0.656250000,2298,,48,6,,false,none,true,true,0.250291151,0.277643274,320,true,375,true,true,,16,32,32,,16176,874
fbm_terrain,33,marching_cubes,0,48,0,3946,0.341823,1.000000,0,5,0.271777488,true,false,true,3,6012,2453,3943,190,16,16,48,10.557864,2.726437,0,0.500000000,2069,2069,48,1,48,false,none,true,true,0.271777488,0.228622535,291,true,424,true,true,3946,16,32,32,,2069,393
fbm_terrain,33,six_tet_crate,6,12,9241386435364257792,11544,1.000000,2.925494,0,5,0.321452719,true,false,true,15,17461,2453,11529,324,16,16,48,10.557864,2.726437,0,0.500000000,2069,2069,48,12,12,true,perm=012;sign=-++,true,true,0.269281960,0.321452719,291,true,316,true,true,11544,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,5935,517
fbm_terrain,33,six_tet_bench,6,12,9241386435364257792,11544,1.000000,2.925494,0,5,0.321452719,true,false,true,15,17461,2453,11529,324,16,16,48,10.557864,2.726437,0,0.500000000,2069,,48,12,,true,perm=012;sign=-++,true,true,0.269281960,0.321452719,291,true,316,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,5935,477
fbm_terrain,33,barycentric_24,24,48,0,27466,2.379245,6.960466,0,5,0.267772593,true,false,true,83,41325,2453,27383,454,16,16,48,10.557864,2.726437,0,0.500000000,2069,,48,6,,false,none,true,true,0.257766222,0.267772593,291,true,359,true,true,,16,32,32,,13961,915
fbm_terrain,33,barycentric_24_field_sampled,24,48,0,28708,2.486833,7.275215,0,5,0.182613393,true,false,true,64,43215,2453,28644,456,16,16,48,10.557864,2.726437,0,0.500000000,2069,,48,6,,false,none,true,true,0.171178683,0.182613393,291,true,480,true,true,,16,32,32,,14583,3058
fbm_terrain,25,marching_cubes,0,48,0,2122,0.335547,1.000000,0,5,0.457637953,true,false,true,1,3254,1336,2121,142,16,16,48,10.557864,2.726437,0,0.750000000,1133,1133,48,1,48,false,none,true,true,0.442685164,0.457637953,249,true,320,true,true,2122,16,32,32,,1133,177
fbm_terrain,25,six_tet_crate,6,12,9242512335271100416,6324,1.000000,2.980207,0,5,0.484227260,true,false,true,10,9599,1336,6314,244,16,16,48,10.557864,2.726437,0,0.750000000,1133,1133,48,12,12,true,perm=012;sign=-++,true,true,0.440349583,0.484227260,249,true,240,true,true,6324,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,3285,243
fbm_terrain,25,six_tet_bench,6,12,9242512335271100416,6324,1.000000,2.980207,0,5,0.484227260,true,false,true,10,9599,1336,6314,244,16,16,48,10.557864,2.726437,0,0.750000000,1133,,48,12,,true,perm=012;sign=-++,true,true,0.440349583,0.484227260,249,true,240,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,3285,221
fbm_terrain,25,barycentric_24,24,48,0,14926,2.360215,7.033930,0,5,0.494777106,true,false,true,39,22514,1336,14887,338,16,16,48,10.557864,2.726437,0,0.750000000,1133,,48,6,,false,none,true,true,0.441807027,0.494777106,249,true,282,true,true,,16,32,32,,7633,433
fbm_terrain,25,barycentric_24_field_sampled,24,48,0,15758,2.491777,7.426013,0,5,0.313233435,true,false,true,34,23768,1336,15724,340,16,16,48,10.557864,2.726437,0,0.750000000,1133,,48,6,,false,none,true,true,0.313233435,0.267751062,249,true,362,true,true,,16,32,32,,8050,1338
noise_cavity,33,marching_cubes,0,48,0,13236,0.369390,1.000000,0,14,0.647064302,true,false,true,69,19672,6962,13167,72,16,16,48,10.557864,2.726437,0,0.125000000,6522,6522,48,1,48,false,none,true,true,0.274321879,0.647064302,643,true,917,true,true,13236,16,32,32,,6522,265
noise_cavity,33,six_tet_crate,6,12,9218868437227405312,35832,1.000000,2.707162,0,14,1.096310418,true,false,true,232,53328,6962,35600,144,16,16,48,10.557864,2.726437,0,0.125000000,6522,6522,48,12,12,true,perm=012;sign=-++,true,true,0.271327943,1.096310418,643,true,865,true,true,35832,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,17862,564
noise_cavity,33,six_tet_bench,6,12,9218868437227405312,35832,1.000000,2.707162,0,14,1.096310418,true,false,true,232,53328,6962,35600,144,16,16,48,10.557864,2.726437,0,0.125000000,6522,,48,12,,true,perm=012;sign=-++,true,true,0.271327943,1.096310418,643,true,865,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,17862,589
noise_cavity,33,barycentric_24,24,48,0,87556,2.443514,6.614989,0,14,0.709508532,true,false,true,541,130529,6962,87015,204,16,16,48,10.557864,2.726437,0,0.125000000,6522,,48,6,,false,none,true,true,0.274277033,0.709508532,643,true,919,true,true,,16,32,32,,43764,1570
noise_cavity,33,barycentric_24_field_sampled,24,48,0,97984,2.734539,7.402841,0,14,0.729414342,true,false,true,611,146105,6962,97373,235,16,16,48,10.557864,2.726437,0,0.125000000,6522,,48,6,,false,none,true,true,0.257201851,0.729414342,643,true,919,true,true,,16,32,32,,48878,2246
noise_cavity,25,marching_cubes,0,48,0,5188,0.386933,1.000000,0,14,0.656600742,true,false,true,0,7701,2618,5188,0,16,16,48,10.557864,2.726437,0,0.187500000,2526,2526,48,1,48,false,none,true,true,0.327309297,0.656600742,360,true,490,true,true,5188,16,32,32,,2526,106
noise_cavity,25,six_tet_crate,6,12,9218868437227405312,13408,1.000000,2.584426,0,14,1.007580940,true,false,true,22,19956,2618,13386,20,16,16,48,10.557864,2.726437,0,0.187500000,2526,2526,48,12,12,true,perm=012;sign=-++,true,true,0.293442668,1.007580940,360,true,476,true,true,13408,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,6676,210
noise_cavity,25,six_tet_bench,6,12,9218868437227405312,13408,1.000000,2.584426,0,14,1.007580940,true,false,true,22,19956,2618,13386,20,16,16,48,10.557864,2.726437,0,0.187500000,2526,,48,12,,true,perm=012;sign=-++,true,true,0.293442668,1.007580940,360,true,476,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,6676,218
noise_cavity,25,barycentric_24,24,48,0,32120,2.395585,6.191210,0,14,1.180559480,true,false,true,70,48041,2618,32050,33,16,16,48,10.557864,2.726437,0,0.187500000,2526,,48,6,,false,none,true,true,0.312018220,1.180559480,360,true,487,true,true,,16,32,32,,16134,578
noise_cavity,25,barycentric_24_field_sampled,24,48,0,40136,2.993437,7.736315,0,14,1.064171524,true,false,true,81,60015,2618,40055,41,16,16,48,10.557864,2.726437,0,0.187500000,2526,,48,6,,false,none,true,true,0.266187493,1.064171524,360,true,486,true,true,,16,32,32,,20024,922
