# experiment P-149 (R-149)
# hypothesis: P-146 measures the aggregate; this measures the mechanism. The AM-GM gap collapses toward zero exactly where one principal curvature vanishes, so the saving should be a function of the curvature ratio and nothing else. (C1) Binning surface cells by principal-curvature ratio, the anisotropic triangle saving is monotone in the ratio, with correlation above 0.7. (C2) Cells with ratio near 1 -- spherical caps -- show no saving, which is the control that says the effect is anisotropy rather than a general refinement improvement. SHARE: C1 decomposes P-146's C1 saving by feature class; the bin populations are reported so each saving has a denominator.
# falsified by: C1 by a non-monotone relationship, which would mean the saving comes from somewhere other than anisotropy. C2 by a saving on isotropic cells, same conclusion and more damning. VACUITY CONTROL: every curvature-ratio bin must be non-empty on at least one field, reported as counts, or the monotonicity is fitted through gaps.
# commit f3431c0 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:19:25Z
feature_class,principal_curvature_ratio,cells,triangles_isotropic,triangles_anisotropic,saving,hausdorff_delta,saving_vs_curvature_ratio_correlation,c1_holds,c2_holds,am_gm_gap_measured,am_gm_gap_predicted,arms_identical,axes_pinned,axis_ratio,band_points,budget_ratio,c1_global_holds,c1_groups_holding,c1_groups_measurable,c2_global_holds,c2_umbilic_saving,cells_all_fields,correlation_bins,curvature_ratio_mean,curvature_ratio_reciprocal,elliptic_fraction,field,field_bound,grid_anisotropic,grid_isotropic,hausdorff_anisotropic_local,hausdorff_isotropic_local,in_correlation,pooled_correlation,probe_residual_max,probes,ratio_bin_hi,ratio_bin_lo,resolution,saving_vs_reciprocal_correlation,vertices_anisotropic,vertices_isotropic
near_umbilic,1.308613,8,8,8,0.000000,0.225120193,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,0.991025,0.991025,false,0,14.692308,935,0.898211,false,2,4,false,undefined,13647,2,1.308613,0.764167591,1.000000,thin_plate,Exact,13x191x13,33x33x33,0.250884743,0.025764550,true,0.187131,3.453115e-3,8,2.000000,1.250000,33,unmeasurable:bins=2<3,96,510
mild_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,14.692308,935,0.898211,false,2,4,false,undefined,19746,2,undefined,undefined,undefined,thin_plate,Exact,13x191x13,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,5.000000,2.000000,33,unmeasurable:bins=2<3,96,510
strong_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,14.692308,935,0.898211,false,2,4,false,undefined,17805,2,undefined,undefined,undefined,thin_plate,Exact,13x191x13,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,50.000000,5.000000,33,unmeasurable:bins=2<3,96,510
flat_direction,1000000.000000,112,224,80,0.642857,0.118690513,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,0.000000,0.002000,false,0,14.692308,935,0.898211,false,2,4,false,undefined,3467,2,1000000.000000,0.000000000,0.000000,thin_plate,Exact,13x191x13,33x33x33,0.186368107,0.067677595,true,0.187131,2.177583e-2,112,inf,50.000000,33,unmeasurable:bins=2<3,96,510
unclassified,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,14.692308,935,0.898211,false,2,4,false,undefined,5763,2,undefined,undefined,undefined,thin_plate,Exact,13x191x13,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,undefined,undefined,33,unmeasurable:bins=2<3,96,510
planar,1.000000,1800,3600,408,0.886667,0.083310516,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,1.000000,1.000000,false,0,30.238095,3399,1.019700,false,2,4,false,undefined,14303,2,1.000000,1.000000000,0.000000,thin_plate,Exact,21x635x21,65x65x65,0.154845035,0.071534520,false,-0.060731,5.625000e-2,120,undefined,undefined,65,unmeasurable:bins=2<3,270,2046
umbilic,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,30.238095,3399,1.019700,false,2,4,false,undefined,30964,2,undefined,undefined,undefined,thin_plate,Exact,21x635x21,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,1.250000,1.000000,65,unmeasurable:bins=2<3,270,2046
near_umbilic,1.324449,8,8,0,1.000000,0.134428669,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,0.990211,0.990211,false,0,30.238095,3399,1.019700,false,2,4,false,undefined,13647,2,1.324449,0.755031083,1.000000,thin_plate,Exact,21x635x21,65x65x65,0.181888718,0.047460049,true,-0.060731,1.007384e-2,8,2.000000,1.250000,65,unmeasurable:bins=2<3,270,2046
mild_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,30.238095,3399,1.019700,false,2,4,false,undefined,19746,2,undefined,undefined,undefined,thin_plate,Exact,21x635x21,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,5.000000,2.000000,65,unmeasurable:bins=2<3,270,2046
strong_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,30.238095,3399,1.019700,false,2,4,false,undefined,17805,2,undefined,undefined,undefined,thin_plate,Exact,21x635x21,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,50.000000,5.000000,65,unmeasurable:bins=2<3,270,2046
flat_direction,1000000.000000,240,480,128,0.733333,0.072732432,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,0.000000,0.002000,false,0,30.238095,3399,1.019700,false,2,4,false,undefined,3467,2,1000000.000000,0.000000000,0.000000,thin_plate,Exact,21x635x21,65x65x65,0.106536210,0.033803778,true,-0.060731,1.005834e-3,120,inf,50.000000,65,unmeasurable:bins=2<3,270,2046
unclassified,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,30.238095,3399,1.019700,false,2,4,false,undefined,5763,2,undefined,undefined,undefined,thin_plate,Exact,21x635x21,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,undefined,undefined,65,unmeasurable:bins=2<3,270,2046
planar,undefined,0,0,0,undefined:no_isotropic_triangles,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,5449,1.000000,false,2,4,false,0.000000,14303,5,undefined,undefined,undefined,gyroid,Lipschitz,33x33x33,33x33x33,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,false,0.187131,unmeasurable:bound=Lipschitz,0,undefined,undefined,33,0.000000,5292,5292
umbilic,1.052690,2045,4892,4892,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.999671,0.999671,true,0,1.000000,5449,1.000000,false,2,4,false,0.000000,30964,5,1.079990,0.949947425,0.400000,gyroid,Lipschitz,33x33x33,33x33x33,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,true,0.187131,unmeasurable:bound=Lipschitz,0,1.250000,1.000000,33,0.000000,5292,5292
near_umbilic,1.463463,1641,2760,2760,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.982143,0.982143,true,0,1.000000,5449,1.000000,false,2,4,false,0.000000,13647,5,1.516699,0.683310943,0.067642,gyroid,Lipschitz,33x33x33,33x33x33,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,true,0.187131,unmeasurable:bound=Lipschitz,0,2.000000,1.250000,33,0.000000,5292,5292
mild_anisotropy,2.834942,819,1467,1467,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.878099,0.878099,true,0,1.000000,5449,1.000000,false,2,4,false,0.000000,19746,5,2.988602,0.352740925,0.388278,gyroid,Lipschitz,33x33x33,33x33x33,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,true,0.187131,unmeasurable:bound=Lipschitz,0,5.000000,2.000000,33,0.000000,5292,5292
strong_anisotropy,9.161815,639,1314,1314,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.595730,0.595730,true,0,1.000000,5449,1.000000,false,2,4,false,0.000000,17805,5,12.340183,0.109148674,0.605634,gyroid,Lipschitz,33x33x33,33x33x33,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,true,0.187131,unmeasurable:bound=Lipschitz,0,50.000000,5.000000,33,0.000000,5292,5292
flat_direction,87.250466,96,198,198,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.213811,0.211688,true,0,1.000000,5449,1.000000,false,2,4,false,0.000000,3467,5,1167.055331,0.011697767,0.500000,gyroid,Lipschitz,33x33x33,33x33x33,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,true,0.187131,unmeasurable:bound=Lipschitz,0,inf,50.000000,33,0.000000,5292,5292
unclassified,undefined,1,1,1,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,5449,1.000000,false,2,4,false,0.000000,5763,5,undefined,undefined,0.000000,gyroid,Lipschitz,33x33x33,33x33x33,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,false,0.187131,unmeasurable:bound=Lipschitz,0,undefined,undefined,33,0.000000,5292,5292
planar,undefined,0,0,0,undefined:no_isotropic_triangles,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,21655,1.000000,false,2,4,false,0.000000,14303,5,undefined,undefined,undefined,gyroid,Lipschitz,65x65x65,65x65x65,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,false,-0.060731,unmeasurable:bound=Lipschitz,0,undefined,undefined,65,0.000000,21534,21534
umbilic,1.047102,14682,31508,31508,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.999735,0.999735,true,0,1.000000,21655,1.000000,false,2,4,false,0.000000,30964,5,1.071076,0.955017029,0.345525,gyroid,Lipschitz,65x65x65,65x65x65,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,true,-0.060731,unmeasurable:bound=Lipschitz,0,1.250000,1.000000,65,0.000000,21534,21534
near_umbilic,1.362652,3435,4983,4983,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.988150,0.988150,true,0,1.000000,21655,1.000000,false,2,4,false,0.000000,13647,5,1.433891,0.733862900,0.038428,gyroid,Lipschitz,65x65x65,65x65x65,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,true,-0.060731,unmeasurable:bound=Lipschitz,0,2.000000,1.250000,65,0.000000,21534,21534
mild_anisotropy,2.961268,1605,3261,3261,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.868830,0.868830,true,0,1.000000,21655,1.000000,false,2,4,false,0.000000,19746,5,3.147369,0.337693223,0.441121,gyroid,Lipschitz,65x65x65,65x65x65,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,true,-0.060731,unmeasurable:bound=Lipschitz,0,5.000000,2.000000,65,0.000000,21534,21534
strong_anisotropy,10.244336,1521,2973,2973,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.569296,0.569296,true,0,1.000000,21655,1.000000,false,2,4,false,0.000000,17805,5,14.520420,0.097614912,0.585799,gyroid,Lipschitz,65x65x65,65x65x65,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,true,-0.060731,unmeasurable:bound=Lipschitz,0,50.000000,5.000000,65,0.000000,21534,21534
flat_direction,124.154532,189,390,390,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.178059,0.178059,true,0,1.000000,21655,1.000000,false,2,4,false,0.000000,3467,5,219.834642,0.008054478,0.539683,gyroid,Lipschitz,65x65x65,65x65x65,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,true,-0.060731,unmeasurable:bound=Lipschitz,0,inf,50.000000,65,0.000000,21534,21534
unclassified,undefined,1,1,1,0.000000,unmeasurable:bound=Lipschitz,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,21655,1.000000,false,2,4,false,0.000000,5763,5,undefined,undefined,0.000000,gyroid,Lipschitz,65x65x65,65x65x65,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,false,-0.060731,unmeasurable:bound=Lipschitz,0,undefined,undefined,65,0.000000,21534,21534
planar,undefined,0,0,0,undefined:no_isotropic_triangles,unmeasurable:bound=Unbounded,1.000000,true,false,undefined,undefined,false,1,17.400000,2178,1.004675,false,2,4,false,-3.322148,14303,5,undefined,undefined,undefined,fbm_terrain,Unbounded,87x5x83,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,false,0.187131,unmeasurable:bound=Unbounded,0,undefined,undefined,33,-1.000000,8244,2069
umbilic,1.143409,148,298,1288,-3.322148,unmeasurable:bound=Unbounded,1.000000,true,false,0.997759,0.997759,false,1,17.400000,2178,1.004675,false,2,4,false,-3.322148,30964,5,1.135528,0.874577569,0.243243,fbm_terrain,Unbounded,87x5x83,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,0.187131,unmeasurable:bound=Unbounded,0,1.250000,1.000000,33,-1.000000,8244,2069
near_umbilic,1.610247,421,848,3451,-3.069575,unmeasurable:bound=Unbounded,1.000000,true,false,0.972287,0.972287,false,1,17.400000,2178,1.004675,false,2,4,false,-3.322148,13647,5,1.609867,0.621022746,0.617577,fbm_terrain,Unbounded,87x5x83,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,0.187131,unmeasurable:bound=Unbounded,0,2.000000,1.250000,33,-1.000000,8244,2069
mild_anisotropy,3.113577,766,1540,6226,-3.042857,unmeasurable:bound=Unbounded,1.000000,true,false,0.857911,0.857907,false,1,17.400000,2178,1.004675,false,2,4,false,-3.322148,19746,5,3.223453,0.321179551,0.639687,fbm_terrain,Unbounded,87x5x83,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,0.187131,unmeasurable:bound=Unbounded,0,5.000000,2.000000,33,-1.000000,8244,2069
strong_anisotropy,9.370873,555,1120,4518,-3.033929,unmeasurable:bound=Unbounded,1.000000,true,false,0.590343,0.590343,false,1,17.400000,2178,1.004675,false,2,4,false,-3.322148,17805,5,13.694687,0.106713648,0.529730,fbm_terrain,Unbounded,87x5x83,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,0.187131,unmeasurable:bound=Unbounded,0,50.000000,5.000000,33,-1.000000,8244,2069
flat_direction,96.274748,68,140,506,-2.614286,unmeasurable:bound=Unbounded,1.000000,true,false,0.205980,0.201737,false,1,17.400000,2178,1.004675,false,2,4,false,-3.322148,3467,5,301.457332,0.010838104,0.544118,fbm_terrain,Unbounded,87x5x83,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,0.187131,unmeasurable:bound=Unbounded,0,inf,50.000000,33,-1.000000,8244,2069
unclassified,undefined,35,0,125,undefined:no_isotropic_triangles,unmeasurable:bound=Unbounded,1.000000,true,false,undefined,undefined,false,1,17.400000,2178,1.004675,false,2,4,false,-3.322148,5763,5,undefined,undefined,0.000000,fbm_terrain,Unbounded,87x5x83,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,false,0.187131,unmeasurable:bound=Unbounded,0,undefined,undefined,33,-1.000000,8244,2069
planar,undefined,0,0,0,undefined:no_isotropic_triangles,unmeasurable:bound=Unbounded,1.000000,true,false,undefined,undefined,false,1,47.400000,8450,1.005389,false,2,4,false,-6.037543,14303,5,undefined,undefined,undefined,fbm_terrain,Unbounded,237x5x233,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,false,-0.060731,unmeasurable:bound=Unbounded,0,undefined,undefined,65,-1.000000,58074,8638
umbilic,1.134998,580,1172,8248,-6.037543,unmeasurable:bound=Unbounded,1.000000,true,false,0.997999,0.997999,false,1,47.400000,8450,1.005389,false,2,4,false,-6.037543,30964,5,1.131675,0.881058759,0.177586,fbm_terrain,Unbounded,237x5x233,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,-0.060731,unmeasurable:bound=Unbounded,0,1.250000,1.000000,65,-1.000000,58074,8638
near_umbilic,1.602553,1760,3526,24668,-5.996029,unmeasurable:bound=Unbounded,1.000000,true,false,0.972829,0.972829,false,1,47.400000,8450,1.005389,false,2,4,false,-6.037543,13647,5,1.610726,0.624004144,0.488636,fbm_terrain,Unbounded,237x5x233,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,-0.060731,unmeasurable:bound=Unbounded,0,2.000000,1.250000,65,-1.000000,58074,8638
mild_anisotropy,3.023296,3242,6502,44840,-5.896340,unmeasurable:bound=Unbounded,1.000000,true,false,0.864347,0.864347,false,1,47.400000,8450,1.005389,false,2,4,false,-6.037543,19746,5,3.161488,0.330764819,0.560765,fbm_terrain,Unbounded,237x5x233,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,-0.060731,unmeasurable:bound=Unbounded,0,5.000000,2.000000,65,-1.000000,58074,8638
strong_anisotropy,9.600154,2529,5076,33275,-5.555359,unmeasurable:bound=Unbounded,1.000000,true,false,0.584597,0.584597,false,1,47.400000,8450,1.005389,false,2,4,false,-6.037543,17805,5,13.209223,0.104164998,0.534203,fbm_terrain,Unbounded,237x5x233,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,-0.060731,unmeasurable:bound=Unbounded,0,50.000000,5.000000,65,-1.000000,58074,8638
flat_direction,104.146970,302,608,3840,-5.315789,unmeasurable:bound=Unbounded,1.000000,true,false,0.194114,0.194114,false,1,47.400000,8450,1.005389,false,2,4,false,-6.037543,3467,5,3138.751496,0.009601816,0.609272,fbm_terrain,Unbounded,237x5x233,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,-0.060731,unmeasurable:bound=Unbounded,0,inf,50.000000,65,-1.000000,58074,8638
unclassified,undefined,72,0,303,undefined:no_isotropic_triangles,unmeasurable:bound=Unbounded,1.000000,true,false,undefined,undefined,false,1,47.400000,8450,1.005389,false,2,4,false,-6.037543,5763,5,undefined,undefined,0.000000,fbm_terrain,Unbounded,237x5x233,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,false,-0.060731,unmeasurable:bound=Unbounded,0,undefined,undefined,65,-1.000000,58074,8638
planar,undefined,0,0,0,undefined:no_isotropic_triangles,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,4735,1.000000,false,2,4,false,0.000000,14303,5,undefined,undefined,undefined,noise_cavity,Unbounded,33x33x33,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,false,0.187131,unmeasurable:bound=Unbounded,0,undefined,undefined,33,0.000000,6522,6522
umbilic,1.051667,665,1399,1399,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.999683,0.999683,true,0,1.000000,4735,1.000000,false,2,4,false,0.000000,30964,5,1.079371,0.950871145,0.615038,noise_cavity,Unbounded,33x33x33,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,0.187131,unmeasurable:bound=Unbounded,0,1.250000,1.000000,33,0.000000,6522,6522
near_umbilic,1.595034,1295,2832,2832,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.973356,0.973356,true,0,1.000000,4735,1.000000,false,2,4,false,0.000000,13647,5,1.603813,0.626945802,0.580695,noise_cavity,Unbounded,33x33x33,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,0.187131,unmeasurable:bound=Unbounded,0,2.000000,1.250000,33,0.000000,6522,6522
mild_anisotropy,3.003572,2071,4512,4512,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.865768,0.865768,true,0,1.000000,4735,1.000000,false,2,4,false,0.000000,19746,5,3.162307,0.332936930,0.595365,noise_cavity,Unbounded,33x33x33,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,0.187131,unmeasurable:bound=Unbounded,0,5.000000,2.000000,33,0.000000,6522,6522
strong_anisotropy,10.019105,1904,4002,4002,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.574676,0.574511,true,0,1.000000,4735,1.000000,false,2,4,false,0.000000,17805,5,13.791131,0.099879375,0.617647,noise_cavity,Unbounded,33x33x33,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,0.187131,unmeasurable:bound=Unbounded,0,50.000000,5.000000,33,0.000000,6522,6522
flat_direction,102.429003,241,489,489,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.195704,0.195704,true,0,1.000000,4735,1.000000,false,2,4,false,0.000000,3467,5,466.558545,0.009762860,0.502075,noise_cavity,Unbounded,33x33x33,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,0.187131,unmeasurable:bound=Unbounded,0,inf,50.000000,33,0.000000,6522,6522
unclassified,undefined,2,2,2,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,4735,1.000000,false,2,4,false,0.000000,5763,5,undefined,undefined,0.000000,noise_cavity,Unbounded,33x33x33,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,false,0.187131,unmeasurable:bound=Unbounded,0,undefined,undefined,33,0.000000,6522,6522
planar,undefined,0,0,0,undefined:no_isotropic_triangles,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,18892,1.000000,false,2,4,false,0.000000,14303,5,undefined,undefined,undefined,noise_cavity,Unbounded,65x65x65,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,false,-0.060731,unmeasurable:bound=Unbounded,0,undefined,undefined,65,0.000000,28882,28882
umbilic,1.000353,5935,11907,11907,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,1.000000,1.000000,true,0,1.000000,18892,1.000000,false,2,4,false,0.000000,30964,5,1.037443,0.999647049,0.776074,noise_cavity,Unbounded,65x65x65,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,-0.060731,unmeasurable:bound=Unbounded,0,1.250000,1.000000,65,0.000000,28882,28882
near_umbilic,1.609284,4912,9969,9969,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.972381,0.972355,true,0,1.000000,18892,1.000000,false,2,4,false,0.000000,13647,5,1.613827,0.621532690,0.439943,noise_cavity,Unbounded,65x65x65,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,-0.060731,unmeasurable:bound=Unbounded,0,2.000000,1.250000,65,0.000000,28882,28882
mild_anisotropy,3.018538,8657,17907,17907,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.864690,0.864690,true,0,1.000000,18892,1.000000,false,2,4,false,0.000000,19746,5,3.172639,0.331286235,0.508952,noise_cavity,Unbounded,65x65x65,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,-0.060731,unmeasurable:bound=Unbounded,0,5.000000,2.000000,65,0.000000,28882,28882
strong_anisotropy,9.744278,7851,16196,16196,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.581069,0.581069,true,0,1.000000,18892,1.000000,false,2,4,false,0.000000,17805,5,13.694906,0.102624335,0.509744,noise_cavity,Unbounded,65x65x65,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,-0.060731,unmeasurable:bound=Unbounded,0,50.000000,5.000000,65,0.000000,28882,28882
flat_direction,101.066350,1020,2131,2131,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.197532,0.196993,true,0,1.000000,18892,1.000000,false,2,4,false,0.000000,3467,5,487.900286,0.009949829,0.482353,noise_cavity,Unbounded,65x65x65,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,true,-0.060731,unmeasurable:bound=Unbounded,0,inf,50.000000,65,0.000000,28882,28882
unclassified,undefined,2,2,2,0.000000,unmeasurable:bound=Unbounded,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,18892,1.000000,false,2,4,false,0.000000,5763,5,undefined,undefined,0.000000,noise_cavity,Unbounded,65x65x65,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,false,-0.060731,unmeasurable:bound=Unbounded,0,undefined,undefined,65,0.000000,28882,28882
